dataset,qid,alpha,oracle_ndcg,bm25_ndcg,dense_ndcg,n_rel
quora,46,0.0,0.47250587516405973,0.15988274384907325,0.47250587516405973,3
quora,187,0.12,0.9543537486413488,0.7152903560770644,0.947088152312012,7
quora,273,0.0,1.0,1.0,1.0,1
quora,313,0.46,0.8786700208106685,0.7498974248207716,0.8042789190164038,4
quora,359,0.0,1.0,1.0,1.0,1
quora,493,0.0,1.0,1.0,1.0,1
quora,589,0.12,0.3698591343700121,0.2896213659075987,0.3534095327135934,4
quora,607,0.0,1.0,0.38685280723454163,1.0,1
quora,615,0.0,1.0,1.0,1.0,1
quora,616,0.5,0.766433990956823,0.4108034787027135,0.4227898344066503,2
quora,639,0.0,0.38685280723454163,0.21274605355336318,0.38685280723454163,1
quora,682,0.0,1.0,1.0,1.0,1
quora,727,0.13,1.0,0.5392286712204903,0.9178287402913377,4
quora,753,0.0,1.0,1.0,1.0,1
quora,800,0.0,1.0,1.0,1.0,1
quora,823,0.0,1.0,0.7451812540517537,1.0,2
quora,840,0.0,1.0,0.6309297535714575,1.0,1
quora,885,0.02,0.9163154293313679,0.39483652581748896,0.9095281794041993,12
quora,965,0.0,1.0,1.0,1.0,1
quora,1080,0.0,1.0,1.0,1.0,1
quora,1093,0.73,0.7536483254634037,0.7422938413959288,0.7024380052559367,6
quora,1106,0.0,1.0,1.0,1.0,1
quora,1145,0.0,1.0,1.0,1.0,1
quora,1149,0.0,1.0,1.0,1.0,1
quora,1234,0.47,0.7317460491501064,0.7291548620734427,0.7173770750854427,2
quora,1238,0.0,1.0,0.3333333333333333,1.0,1
quora,1251,0.0,1.0,1.0,1.0,1
quora,1303,0.0,1.0,1.0,1.0,1
quora,1305,0.08,0.9010126104210695,0.49141527484330916,0.8348200792023318,3
quora,1331,0.34,1.0,0.5,0.6309297535714575,1
quora,1461,0.45,1.0,0.6309297535714575,0.27894294565112987,1
quora,1464,0.0,1.0,0.5,1.0,1
quora,1504,0.0,0.5063453554954499,0.2812311476335236,0.5063453554954499,18
quora,1566,0.5,0.7977228895450266,0.746877227126485,0.5578858913022597,2
quora,1569,0.0,1.0,1.0,1.0,1
quora,1608,0.08,0.5706417189553201,0.3467132018086354,0.5249810332008933,2
quora,1630,0.0,1.0,1.0,1.0,1
quora,1658,0.0,1.0,0.5,1.0,1
quora,1665,0.0,1.0,1.0,1.0,1
quora,1712,0.0,1.0,1.0,1.0,1
quora,1744,0.0,1.0,1.0,1.0,1
quora,1826,0.0,1.0,1.0,1.0,2
quora,1888,0.0,1.0,1.0,1.0,1
quora,1895,0.0,1.0,0.19195872000656014,1.0,1
quora,1930,0.51,1.0,1.0,0.6309297535714575,1
quora,1993,0.0,0.6309297535714575,0.43067655807339306,0.6309297535714575,1
quora,2021,0.0,1.0,0.3333333333333333,1.0,1
quora,2096,0.43,0.6309297535714575,0.6309297535714575,0.38685280723454163,1
quora,2101,0.0,1.0,0.6309297535714575,1.0,1
quora,2267,0.0,1.0,0.9527710311943328,1.0,11
quora,2276,0.51,0.31352663252441537,0.2675615536753618,0.26808816512653166,2
quora,2309,0.0,1.0,1.0,1.0,1
quora,2410,0.0,1.0,1.0,1.0,1
